Orden;Glosa;Descripción
1;FUENTE;Corresponde al establecimiento donde se va a buscar los precios
2;DIVISION;Código de división de canasta IPC
3;GRUPO;Código de grupo de canasta IPC
4;CLASE;Código de clase de canasta IPC
5;SUBCLASE;Código de subclase de canasta IPC
6;PRODUCTO;Código de producto de canasta IPC
7;VARIEDAD;Código de variedad de canasta IPC
8;Glosa_Producto;Descripción de producto del IPC
9;pm_Enero2024;Precio promedio Enero 2024
10;pm_Febrero2024;Precio promedio Febrero 2024
11;pm_Marzo2024;Precio promedio Marzo 2024
12;pm_Abril2024;Precio promedio Abril 2024
13;pm_Mayo2024;Precio promedio Mayo 2024
14;pm_Junio2024;Precio promedio Junio 2024
15;pm_Julio2024;Precio promedio Julio 2024
16;pm_Agosto2024;Precio promedio Agosto 2024
17;pm_Septiembre2024;Precio promedio Septiembre 2024
18;pm_Octubre2024;Precio promedio Octubre 2024
19;pm_Noviembre2024;Precio promedio Noviembre 2024
20;pm_Diciembre2024;Precio promedio Diciembre 2024
21;pm_Enero2025;Precio promedio Enero 2025
22;pm_Febrero2025;Precio promedio Febrero 2025
23;pm_Marzo2024;Precio promedio Marzo 2025
24;pm_Abril2025;Precio promedio Abril 2025
25;pm_Mayo2025;Precio promedio Mayo 2025
26;pm_Junio2025;Precio promedio Junio 2025
27;pm_Julio2025;Precio promedio Julio 2025
28;pm_Agosto2025;Precio promedio Agosto 2025
29;pm_Septiembre2025;Precio promedio Septiembre 2025
30;pm_Octubre2025;Precio promedio Octubre 2025
31;pm_Noviembre2025;Precio promedio Noviembre 2025
32;pm_16_Enero2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
33;pm_16_Febrero2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
34;pm_16_Marzo2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
35;pm_16_Abril2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
36;pm_16_Mayo2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
37;pm_16_Junio2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
38;pm_16_Julio2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
39;pm_16_Agosto2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
40;pm_16_Septiembre2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
41;pm_16_Octubre2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
42;pm_16_Noviembre2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
43;pm_16_Diciembre2024;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
44;pm_16_Enero2025;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
45;pm_16_Febrero2025;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
46;pm_16_Marzo2025;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
47;pm_16_Abril2025;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
48;pm_16_Mayo2025;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
49;pm_16_Junio2025;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
50;pm_16_Julio2025;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
51;pm_16_Agosto2025;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
52;pm_16_Septiembre2025;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
53;pm_16_Octubre2025;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
54;pm_16_Noviembre2025;Corresponde a precio de reemplazo no comparable, que se guarda para comparar con el mes siguiente
55;Reemplaza_Enero2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
56;Reemplaza_Febrero2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
57;Reemplaza_Marzo2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
58;Reemplaza_Abril2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
59;Reemplaza_Mayo2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
60;Reemplaza_Junio2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
61;Reemplaza_Julio2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
62;Reemplaza_Agosto2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
63;Reemplaza_Septiembre2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
64;Reemplaza_Octubre2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
65;Reemplaza_Noviembre2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
66;Reemplaza_Diciembre2024;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
67;Reemplaza_Enero2025;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
68;Reemplaza_Febrero2025;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
69;Reemplaza_Marzo2025;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
70;Reemplaza_Abril2025;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
71;Reemplaza_Mayo2025;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
72;Reemplaza_Junio2025;"Señala si el reemplazo es aceptado o no, ""SI"" aceptado, ""NO"" rechazado"
