DIVISION;GRUPO;CLASE;SUBCLASE;PRODUCTO;GLOSA
4;1;1;1;1;ARRIENDO
4;3;1;1;1;SUMINISTRO DE AGUA
4;3;2;1;1;SERVICIO DE RETIRO DE BASURA
4;3;3;1;1;GASTOS COMUNES
4;4;1;1;1;SUMINISTRO DE ELECTRICIDAD
4;4;2;1;1;GAS POR RED
4;4;2;2;1;GAS LICUADO
5;6;2;1;1;SERVICIO DOMÉSTICO
7;2;4;2;1;SERVICIO DE PEAJE 
7;3;1;2;1;TRANSPORTE PRIVADO DE PASAJEROS
7;3;2;1;1;TRANSPORTE AÉREO NACIONAL
7;3;2;2;1;TRANSPORTE AÉREO INTERNACIONAL
7;3;3;1;1;TRANSPORTE COMBINADO DE PASAJEROS
8;1;1;1;1;EQUIPOS DE TELEFONÍA MÓVIL
8;2;1;1;1;SERVICIOS DE TELEFONÍA MÓVIL
8;2;2;1;1;CONEXIÓN A INTERNET
8;2;3;1;1;PACK DE TELECOMUNICACIONES
8;2;4;1;1;SUSCRIPCIÓN A CONTENIDOS AUDIOVISUALES
9;4;2;3;1;ENTRADAS A ESPECTÁCULOS DEPORTIVOS
9;6;1;1;1;ENTRADA AL TEATRO
9;8;1;1;1;PAQUETES TURÍSTICOS INTERNACIONALES
9;8;1;1;2;PAQUETES TURÍSTICOS NACIONALES
10;1;1;1;1;EDUCACIÓN DE 2do CICLO DE ENSEÑANZA BÁSICA
10;1;1;1;2;EDUCACIÓN DE 1er CICLO DE ENSEÑANZA BÁSICA
10;1;1;1;3;EDUCACIÓN PARVULARIA
10;2;1;1;1;ENSEÑANZA MEDIA
10;3;1;1;1;ENSEÑANZA UNIVERSITARIA
10;3;1;1;2;ENSEÑANZA DE POST GRADO Y POSTÍTULO
10;3;1;1;3;ENSEÑANZA EN INSTITUTO PROFESIONAL
10;3;1;1;4;ENSEÑANZA EN CENTROS DE FORMACIÓN TÉCNICA
10;4;1;1;1;PRE UNIVERSITARIOS
10;4;1;2;1;CURSOS DE CAPACITACIÓN
12;1;1;1;1;SEGUROS
12;2;1;1;1;GASTOS FINANCIEROS
13;4;1;1;3;CUOTAS EN CENTROS DE PADRES Y APODERADOS 
;;;;;
Nota: Los datos de los productos listados fueron excluidos de la base publicada del IPC base anual 2023=100 con el propósito de dar cumplimiento al secreto estadístico establecido en la Ley N° 17.374.;;;;;
